1,Nashville Predators,53,18,11,117,0.713,267,211
2,Winnipeg Jets,52,20,10,114,0.695,277,218
3,Tampa Bay Lightning,54,23,5,113,0.689,296,236
4,Boston Bruins,50,20,12,112,0.683,270,214
5,Vegas Golden Knights,51,24,7,109,0.665,272,228
6,Washington Capitals,49,26,7,105,0.64,259,239
7,Toronto Maple Leafs,49,26,7,105,0.64,277,232
8,Anaheim Ducks,44,25,13,101,0.616,235,216
9,Minnesota Wild,45,26,11,101,0.616,253,232
10,Pittsburgh Penguins,47,29,6,100,0.61,272,250
11,San Jose Sharks,45,27,10,100,0.61,252,229
12,Philadelphia Flyers,42,26,14,98,0.598,251,243
13,Los Angeles Kings,45,29,8,98,0.598,239,203
14,Columbus Blue Jackets,45,30,7,97,0.591,242,230
15,New Jersey Devils,44,29,9,97,0.591,248,244
16,Florida Panthers,44,30,8,96,0.585,248,246
17,Colorado Avalanche,43,30,9,95,0.579,257,237
18,St. Louis Blues,44,32,6,94,0.573,226,222
19,Dallas Stars,42,32,8,92,0.561,235,225
20,Calgary Flames,37,35,10,84,0.512,218,248
21,Carolina Hurricanes,36,35,11,83,0.506,228,256
22,New York Islanders,35,37,10,80,0.488,264,296
23,Edmonton Oilers,36,40,6,78,0.476,234,263
24,New York Rangers,34,39,9,77,0.47,231,268
25,Chicago Blackhawks,33,39,10,76,0.463,229,256
26,Vancouver Canucks,31,40,11,73,0.445,218,264
27,Detroit Red Wings,30,39,13,73,0.445,217,255
28,Montreal Canadiens,29,40,13,71,0.433,209,264
29,Arizona Coyotes,29,41,12,70,0.427,208,256
30,Ottawa Senators,28,43,11,67,0.409,221,291
31,Buffalo Sabres,25,45,12,62,0.378,199,280